yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301606.3989395368,4242761.853332958,110.0,260080.9770276715,3658614.843685003,-43651.013011644071,-13.871766352679167,745659.18970309384,5200656.222035529,4.066161,54.98719542727415,-25.964613132577593,1465912413,48.269878,4736984.070590742,117.0,116.99993214823911,-22.389783424412599,9.0
301606.74967314204,4242767.834122774,110.0,260081.2793317093,3658619.999061445,-43642.074791543884,-13.871785610233708,745660.24242214893,5200663.593250088,4.06616,54.98719542727415,-26.038886836403528,1465912413,48.269878,4736990.787185881,126.0,125.99993184644069,-22.453831050246663,9.0
301606.2776911765,4242761.194649673,120.0,260080.87248847273,3658614.2759090303,-43652.006147499604,-13.871763837484103,745659.07273463497,5200655.40301169,4.06616,54.98719542727415,-26.038846088374328,1465912413,48.269878,4736983.324302393,116.0,115.99993184675213,-22.453795925888699,8.0
301606.5608803558,4242765.178333533,120.0,260081.11659441466,3658617.709800479,-43646.047333926312,-13.871776900207287,745659.77454714326,5200660.317154729,4.06616,54.98719542727415,-26.038870537139015,1465912413,48.269878,4736987.802032487,122.0,121.99993184648761,-22.453817000503477,8.0
301606.7968713386,4242768.4980700845,120.0,260081.32001603296,3658620.5713766865,-43641.081655948597,-13.871787787586868,745660.35939089977,5200664.412273928,4.06616,54.98719542727415,-26.038890911190627,1465912413,48.269878,4736991.53347423,127.0,126.9999318466041,-22.453834562686097,8.0
301606.76732628787,4242768.08245342,120.0,260081.3082423928,3658620.4057543264,-43642.016563216632,-14.205379612918229,745659.74802818685,5200663.307626209,4.06616,54.98719095561589,-26.038888360410979,1465912413,48.269875,4736990.565138104,126.0,125.99993111251966,-22.453833546227543,8.0
301606.48413709184,4242764.098769325,120.0,260081.0641364237,3658616.9718624954,-43647.975376844872,-14.205366234430088,745659.04621614306,5200658.3934834385,4.06616,54.98719095561589,-26.03886391160065,1465912413,48.269875,4736986.08740822,120.0,119.99993111193699,-22.453812471612764,8.0
301606.1439294647,4242762.453826386,120.0,260080.78906628152,3658615.8107907143,-43650.877146850573,-14.650149899897912,745658.03612003056,5200655.555580734,4.066157,54.98718499340534,-26.261564841383422,1465912413,48.269871,4736983.552479971,117.0,116.99992919219689,-22.645853353933489,8.0
301606.16427560383,4242763.786985214,120.0,260080.80657997815,3658616.9599607657,-43648.89087588049,-14.650154155732679,745658.27005746739,5200657.193628205,4.066156,54.98718499340534,-26.335810124538913,1465912413,48.269871,4736985.045056507,119.0,118.99992888719842,-22.709876489345334,8.0
301606.06987929053,4242762.459090405,120.0,260080.7252113896,3658615.8153299796,-43650.877147114195,-14.650149557344889,745658.03612032626,5200655.555580734,4.066156,54.98718499340534,-26.335801881963938,1465912413,48.269871,4736983.552479971,117.0,116.99992888667143,-22.709869384365447,8.0
